expressed_emotion,emotion_intensity,stimulus_id,sentences,semantically_neutral,number_of_surveys,raw_taget_emotion_score,raw_control_emotion_1_score,raw_control_emotion_2_score,raw_control_emotion_3_score,raw_control_emotion_4_score,raw_control_none_of_the_above_score,p_value,control_taget_emotion_score,control_control_emotion_1_score,control_control_emotion_2_score,control_control_emotion_3_score,control_control_emotion_4_score,control_control_none_of_the_above_score,valence,intensity,arousal,target_emotion,control_emotion,control_emotion_2,control_emotion_3,control_emotion_4,control_emotion_5,original_id,speaker_id,speaker_age,speaker_gender,fixed_audio,stimulus_dir,id_corrected,file_exists,sample_length,path
Afraid,High,OV3E,I knew it would happen,yes,21,4.761904761904762,4.761904761904762,9.523809523809524,76.19047619047619,4.761904761904762,0.0,0.8869691023467817,0.0,0.0,0.0,71.31382673551347,0.0,0.0,2.33333333333333,3.76190476190476,3.57142857142857,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,O-V3E,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,29184.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/OV3E.wav
Afraid,High,fix__OV3H,What’s all this? ,yes,21,23.809523809523807,4.761904761904762,4.761904761904762,57.14285714285714,9.523809523809524,0.0,0.26495137787668677,8.20424555364314,0.0,0.0,48.36488812392426,0.0,0.0,2.71428571428571,3.61904761904762,3.14285714285714,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,O-V3Hx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid,False,True,28416.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid/fix__OV3H.wav
Afraid,High,OV3G,Is this for me?,yes,21,33.33333333333333,9.523809523809524,19.047619047619047,28.57142857142857,0.0,9.523809523809524,0.04791953403692162,19.678714859437747,0.0,2.467010900745838,13.941480206540444,0.0,0.0,2.5,3.45,3.25,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,O-V3G,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,40704.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/OV3G.wav
Afraid,High,fix__OV3F,Here we go again ,yes,21,38.095238095238095,14.285714285714285,0.0,28.57142857142857,9.523809523809524,9.523809523809524,0.004243560494012311,25.41594951233505,0.0,0.0,13.941480206540444,0.0,0.0,2.333333333,3.238095238,2.952380952,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,O-V3Fx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid,False,True,31104.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid/fix__OV3F.wav
Afraid,High,OV3A,I don’t like this,no,20,80.0,0.0,0.0,20.0,0.0,0.0,4.030220601691781e-11,75.90361445783132,0.0,0.0,3.614457831325301,0.0,0.0,2.0,3.9,3.4,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,O-V3A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,32256.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/OV3A.wav
Ashamed,High,OV13D,Is it almost over? ,yes,20,0.0,45.0,50.0,5.0,0.0,0.0,0.9739159466954111,0.0,33.734939759036145,39.75903614457831,0.0,0.0,0.0,2.5,2.85,2.6,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,O-V13D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,33408.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/OV13D.wav
Ashamed,High,OV13F,Bet you weren't expecting that,yes,23,8.695652173913043,4.3478260869565215,4.3478260869565215,39.130434782608695,13.043478260869565,30.434782608695656,0.7627075706318656,0.0,0.0,0.0,26.663174436877952,0.0,16.186485070717655,2.60869565217391,2.78260869565217,2.65217391304348,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,O-V13F,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,39936.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/OV13F.wav
Ashamed,High,OV13G,This doesn't look good,yes,20,10.0,20.0,60.0,5.0,0.0,5.0,0.6713409283621807,0.0,3.614457831325301,51.80722891566265,0.0,0.0,0.0,2.8,3.2,3.2,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,O-V13G,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,34944.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/OV13G.wav
Ashamed,High,OV13A,I shouldn’t have done that,no,20,80.0,5.0,5.0,0.0,5.0,5.0,4.030220601691781e-11,75.90361445783132,0.0,0.0,0.0,0.0,0.0,2.33333333333333,3.0952380952381,2.47619047619048,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,O-V13A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,34176.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/OV13A.wav
Ashamed,High,OV13B,That wasn’t very nice of me,no,20,90.0,5.0,5.0,0.0,0.0,0.0,2.7644553313166398e-14,87.95180722891567,0.0,0.0,0.0,0.0,0.0,2.25,3.3,3.05,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,O-V13B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,36096.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/OV13B.wav
Bored,High,OV8E,"Yes, it happened again ",yes,22,27.27272727272727,40.909090909090914,9.090909090909092,4.545454545454546,9.090909090909092,9.090909090909092,0.14699928883333602,12.37677984665936,28.806133625410734,0.0,0.0,0.0,0.0,2.54545454545455,3.04545454545455,2.90909090909091,Bored,Frustrated,Sad,Hurt,Excited,None of the above,O-V8E,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,41088.0,data/EU_Emotion_Stimulus_Set/Original/Bored/OV8E.wav
Bored,High,OV8C,What will we do now? ,yes,21,33.33333333333333,33.33333333333333,9.523809523809524,4.761904761904762,14.285714285714285,4.761904761904762,0.04791953403692162,19.678714859437747,19.678714859437747,0.0,0.0,0.0,0.0,2.76190476190476,3.38095238095238,3.38095238095238,Bored,Frustrated,Sad,Hurt,Excited,None of the above,O-V8C,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,36096.0,data/EU_Emotion_Stimulus_Set/Original/Bored/OV8C.wav
