speaker_type,stimuli_type,word,background_noise,original_path,new_path,clip_name,sample_length
foreign,negative,fear,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fear_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fear_foreign_Noise.wav,fear_foreign_Noise,8701
native,negative,fear,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fear_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fear_native_Noise.wav,fear_native_Noise,9621
foreign,negative,hate,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/hate_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/hate_foreign_Noise.wav,hate_foreign_Noise,11056
native,negative,hate,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/hate_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/hate_native_Noise.wav,hate_native_Noise,9185
foreign,negative,rage,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/rage_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/rage_foreign_Noise.wav,rage_foreign_Noise,9670
native,negative,rage,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/rage_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/rage_native_Noise.wav,rage_native_Noise,13481
foreign,negative,fury,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fury_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fury_foreign_Noise.wav,fury_foreign_Noise,8112
native,negative,fury,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fury_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fury_native_Noise.wav,fury_native_Noise,11482
foreign,negative,wrath,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/wrath_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/wrath_foreign_Noise.wav,wrath_foreign_Noise,10410
native,negative,wrath,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/wrath_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/wrath_native_Noise.wav,wrath_native_Noise,10056
foreign,negative,fight,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fight_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fight_foreign_Noise.wav,fight_foreign_Noise,10506
native,negative,fight,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/fight_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/fight_native_Noise.wav,fight_native_Noise,9205
foreign,negative,hatred,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/hatred_foreign_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/hatred_foreign_Noise.wav,hatred_foreign_Noise,10620
native,negative,hatred,noise,data/audio_iats/romero_rivas_et_al/IAT_Stimuli - noise/hatred_native_Noise.wav,data/audio_iats/romero_rivas_et_al/all_clips/hatred_native_Noise.wav,hatred_native_Noise,9779
