language,url
aceh,https://accent.gmu.edu/browse_language.php?function=find&language=aceh
afrikaans,https://accent.gmu.edu/browse_language.php?function=find&language=afrikaans
agni,https://accent.gmu.edu/browse_language.php?function=find&language=agni
agny,https://accent.gmu.edu/browse_language.php?function=find&language=agny
akan,https://accent.gmu.edu/browse_language.php?function=find&language=akan
albanian,https://accent.gmu.edu/browse_language.php?function=find&language=albanian
amazigh,https://accent.gmu.edu/browse_language.php?function=find&language=amazigh
american sign language,https://accent.gmu.edu/browse_language.php?function=find&language=american%20sign%20language
amharic,https://accent.gmu.edu/browse_language.php?function=find&language=amharic
ancient greek,https://accent.gmu.edu/browse_language.php?function=find&language=ancient%20greek
antigua and barbuda creole english,https://accent.gmu.edu/browse_language.php?function=find&language=antigua%20and%20barbuda%20creole%20english
anyin,https://accent.gmu.edu/browse_language.php?function=find&language=anyin
appolo,https://accent.gmu.edu/browse_language.php?function=find&language=appolo
arabic,https://accent.gmu.edu/browse_language.php?function=find&language=arabic
aramaic,https://accent.gmu.edu/browse_language.php?function=find&language=aramaic
armenian,https://accent.gmu.edu/browse_language.php?function=find&language=armenian
aromanian,https://accent.gmu.edu/browse_language.php?function=find&language=aromanian
ashanti,https://accent.gmu.edu/browse_language.php?function=find&language=ashanti
asl,https://accent.gmu.edu/browse_language.php?function=find&language=asl
azerbaijani,https://accent.gmu.edu/browse_language.php?function=find&language=azerbaijani
"azerbaijani, south",https://accent.gmu.edu/browse_language.php?function=find&language=azerbaijani%2C%20south
azeri turk,https://accent.gmu.edu/browse_language.php?function=find&language=azeri%20turk
babur,https://accent.gmu.edu/browse_language.php?function=find&language=babur
bafang,https://accent.gmu.edu/browse_language.php?function=find&language=bafang
baga,https://accent.gmu.edu/browse_language.php?function=find&language=baga
bahasa indonesia,https://accent.gmu.edu/browse_language.php?function=find&language=bahasa%20indonesia
bahasa melayu,https://accent.gmu.edu/browse_language.php?function=find&language=bahasa%20melayu
bai,https://accent.gmu.edu/browse_language.php?function=find&language=bai
balant,https://accent.gmu.edu/browse_language.php?function=find&language=balant
balanta ganja,https://accent.gmu.edu/browse_language.php?function=find&language=balanta%20ganja
bamanankan,https://accent.gmu.edu/browse_language.php?function=find&language=bamanankan
bambara,https://accent.gmu.edu/browse_language.php?function=find&language=bambara
bamun,https://accent.gmu.edu/browse_language.php?function=find&language=bamun
banganthe,https://accent.gmu.edu/browse_language.php?function=find&language=banganthe
bangla,https://accent.gmu.edu/browse_language.php?function=find&language=bangla
baoule,https://accent.gmu.edu/browse_language.php?function=find&language=baoule
bari,https://accent.gmu.edu/browse_language.php?function=find&language=bari
basque,https://accent.gmu.edu/browse_language.php?function=find&language=basque
bassa,https://accent.gmu.edu/browse_language.php?function=find&language=bassa
bavarian,https://accent.gmu.edu/browse_language.php?function=find&language=bavarian
belarusan,https://accent.gmu.edu/browse_language.php?function=find&language=belarusan
bengali,https://accent.gmu.edu/browse_language.php?function=find&language=bengali
bikol,https://accent.gmu.edu/browse_language.php?function=find&language=bikol
bisayan,https://accent.gmu.edu/browse_language.php?function=find&language=bisayan
bislama,https://accent.gmu.edu/browse_language.php?function=find&language=bislama
bosnian,https://accent.gmu.edu/browse_language.php?function=find&language=bosnian
bulgarian,https://accent.gmu.edu/browse_language.php?function=find&language=bulgarian
burmese,https://accent.gmu.edu/browse_language.php?function=find&language=burmese
cameroon creole english,https://accent.gmu.edu/browse_language.php?function=find&language=cameroon%20creole%20english
cantonese,https://accent.gmu.edu/browse_language.php?function=find&language=cantonese
carolinian,https://accent.gmu.edu/browse_language.php?function=find&language=carolinian
castellano,https://accent.gmu.edu/browse_language.php?function=find&language=castellano
catalan,https://accent.gmu.edu/browse_language.php?function=find&language=catalan
cebuano,https://accent.gmu.edu/browse_language.php?function=find&language=cebuano
chaam,https://accent.gmu.edu/browse_language.php?function=find&language=chaam
chagga,https://accent.gmu.edu/browse_language.php?function=find&language=chagga
chaldean,https://accent.gmu.edu/browse_language.php?function=find&language=chaldean
chaldean neo aramaic,https://accent.gmu.edu/browse_language.php?function=find&language=chaldean%20neo%20aramaic
chamorro,https://accent.gmu.edu/browse_language.php?function=find&language=chamorro
charapa-spanish,https://accent.gmu.edu/browse_language.php?function=find&language=charapa-spanish
chichewa,https://accent.gmu.edu/browse_language.php?function=find&language=chichewa
"chin, mizo",https://accent.gmu.edu/browse_language.php?function=find&language=chin%2C%20mizo
chinese,https://accent.gmu.edu/browse_language.php?function=find&language=chinese
chittagonian,https://accent.gmu.edu/browse_language.php?function=find&language=chittagonian
chuukese,https://accent.gmu.edu/browse_language.php?function=find&language=chuukese
classical greek,https://accent.gmu.edu/browse_language.php?function=find&language=classical%20greek
cotocoli,https://accent.gmu.edu/browse_language.php?function=find&language=cotocoli
creole,https://accent.gmu.edu/browse_language.php?function=find&language=creole
creole french,https://accent.gmu.edu/browse_language.php?function=find&language=creole%20french
crioulo,https://accent.gmu.edu/browse_language.php?function=find&language=crioulo
croatian,https://accent.gmu.edu/browse_language.php?function=find&language=croatian
czech,https://accent.gmu.edu/browse_language.php?function=find&language=czech
danish,https://accent.gmu.edu/browse_language.php?function=find&language=danish
dari,https://accent.gmu.edu/browse_language.php?function=find&language=dari
darija,https://accent.gmu.edu/browse_language.php?function=find&language=darija
dholuo,https://accent.gmu.edu/browse_language.php?function=find&language=dholuo
dinka,https://accent.gmu.edu/browse_language.php?function=find&language=dinka
djola,https://accent.gmu.edu/browse_language.php?function=find&language=djola
dutch,https://accent.gmu.edu/browse_language.php?function=find&language=dutch
eastern farsi,https://accent.gmu.edu/browse_language.php?function=find&language=eastern%20farsi
ebira,https://accent.gmu.edu/browse_language.php?function=find&language=ebira
edo,https://accent.gmu.edu/browse_language.php?function=find&language=edo
efik,https://accent.gmu.edu/browse_language.php?function=find&language=efik
english,https://accent.gmu.edu/browse_language.php?function=find&language=english
esperanto,https://accent.gmu.edu/browse_language.php?function=find&language=esperanto
estonian,https://accent.gmu.edu/browse_language.php?function=find&language=estonian
ewe,https://accent.gmu.edu/browse_language.php?function=find&language=ewe
fang,https://accent.gmu.edu/browse_language.php?function=find&language=fang
fanti,https://accent.gmu.edu/browse_language.php?function=find&language=fanti
faroese,https://accent.gmu.edu/browse_language.php?function=find&language=faroese
farsi,https://accent.gmu.edu/browse_language.php?function=find&language=farsi
fataluku,https://accent.gmu.edu/browse_language.php?function=find&language=fataluku
fefe,https://accent.gmu.edu/browse_language.php?function=find&language=fefe
fijian,https://accent.gmu.edu/browse_language.php?function=find&language=fijian
filipino,https://accent.gmu.edu/browse_language.php?function=find&language=filipino
finnish,https://accent.gmu.edu/browse_language.php?function=find&language=finnish
flemish,https://accent.gmu.edu/browse_language.php?function=find&language=flemish
french,https://accent.gmu.edu/browse_language.php?function=find&language=french
frisian,https://accent.gmu.edu/browse_language.php?function=find&language=frisian
fulani,https://accent.gmu.edu/browse_language.php?function=find&language=fulani
fulfulde adamawa,https://accent.gmu.edu/browse_language.php?function=find&language=fulfulde%20adamawa
ga,https://accent.gmu.edu/browse_language.php?function=find&language=ga
gaddang,https://accent.gmu.edu/browse_language.php?function=find&language=gaddang
gaelic,https://accent.gmu.edu/browse_language.php?function=find&language=gaelic
gamugna,https://accent.gmu.edu/browse_language.php?function=find&language=gamugna
gan,https://accent.gmu.edu/browse_language.php?function=find&language=gan
ganda,https://accent.gmu.edu/browse_language.php?function=find&language=ganda
garhwali,https://accent.gmu.edu/browse_language.php?function=find&language=garhwali
garifuna,https://accent.gmu.edu/browse_language.php?function=find&language=garifuna
gedeo,https://accent.gmu.edu/browse_language.php?function=find&language=gedeo
georgian,https://accent.gmu.edu/browse_language.php?function=find&language=georgian
german,https://accent.gmu.edu/browse_language.php?function=find&language=german
giriama,https://accent.gmu.edu/browse_language.php?function=find&language=giriama
grebo,https://accent.gmu.edu/browse_language.php?function=find&language=grebo
greek,https://accent.gmu.edu/browse_language.php?function=find&language=greek
"greek, ancient",https://accent.gmu.edu/browse_language.php?function=find&language=greek%2C%20ancient
gujarati,https://accent.gmu.edu/browse_language.php?function=find&language=gujarati
gurung,https://accent.gmu.edu/browse_language.php?function=find&language=gurung
gusii,https://accent.gmu.edu/browse_language.php?function=find&language=gusii
hadiyya,https://accent.gmu.edu/browse_language.php?function=find&language=hadiyya
hainanese,https://accent.gmu.edu/browse_language.php?function=find&language=hainanese
haitian creole french,https://accent.gmu.edu/browse_language.php?function=find&language=haitian%20creole%20french
hakka,https://accent.gmu.edu/browse_language.php?function=find&language=hakka
harari,https://accent.gmu.edu/browse_language.php?function=find&language=harari
haruku,https://accent.gmu.edu/browse_language.php?function=find&language=haruku
hausa,https://accent.gmu.edu/browse_language.php?function=find&language=hausa
hawai'i creole english,https://accent.gmu.edu/browse_language.php?function=find&language=hawai%27i%20creole%20english
hawai'ian pidgin,https://accent.gmu.edu/browse_language.php?function=find&language=hawai%27ian%20pidgin
hawu,https://accent.gmu.edu/browse_language.php?function=find&language=hawu
hebrew,https://accent.gmu.edu/browse_language.php?function=find&language=hebrew
hijazi,https://accent.gmu.edu/browse_language.php?function=find&language=hijazi
hiligaynon,https://accent.gmu.edu/browse_language.php?function=find&language=hiligaynon
hindi,https://accent.gmu.edu/browse_language.php?function=find&language=hindi
hindi-urdu,https://accent.gmu.edu/browse_language.php?function=find&language=hindi-urdu
hindko,https://accent.gmu.edu/browse_language.php?function=find&language=hindko
hmong,https://accent.gmu.edu/browse_language.php?function=find&language=hmong
hmong daw,https://accent.gmu.edu/browse_language.php?function=find&language=hmong%20daw
hokkien,https://accent.gmu.edu/browse_language.php?function=find&language=hokkien
home sign,https://accent.gmu.edu/browse_language.php?function=find&language=home%20sign
hungarian,https://accent.gmu.edu/browse_language.php?function=find&language=hungarian
ibibio,https://accent.gmu.edu/browse_language.php?function=find&language=ibibio
icelandic,https://accent.gmu.edu/browse_language.php?function=find&language=icelandic
ife,https://accent.gmu.edu/browse_language.php?function=find&language=ife
igbo,https://accent.gmu.edu/browse_language.php?function=find&language=igbo
ikalanga,https://accent.gmu.edu/browse_language.php?function=find&language=ikalanga
ilocano,https://accent.gmu.edu/browse_language.php?function=find&language=ilocano
ilonggo,https://accent.gmu.edu/browse_language.php?function=find&language=ilonggo
indonesian,https://accent.gmu.edu/browse_language.php?function=find&language=indonesian
interlingua,https://accent.gmu.edu/browse_language.php?function=find&language=interlingua
irish,https://accent.gmu.edu/browse_language.php?function=find&language=irish
irish gaelic,https://accent.gmu.edu/browse_language.php?function=find&language=irish%20gaelic
italian,https://accent.gmu.edu/browse_language.php?function=find&language=italian
jamaican creole english,https://accent.gmu.edu/browse_language.php?function=find&language=jamaican%20creole%20english
japanese,https://accent.gmu.edu/browse_language.php?function=find&language=japanese
