language,id,name,url,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_url,age,sex,has_mp3,length_of_time_speaking_english,sample_length
afrikaans,1,afrikaans1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1,"virginia, south africa",afrikaans,tswana,9.0,academic,usa,0.5,https://accent.gmu.edu/soundtracks/afrikaans1.mp3,27.0,female,True,18.0,332356.0
afrikaans,2,afrikaans2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2,"pretoria, south africa",afrikaans,dutch german french,5.0,academic,usa,10.0,https://accent.gmu.edu/soundtracks/afrikaans2.mp3,40.0,male,True,35.0,351384.0
agni,3,agni1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3,"diekabo, ivory coast",agni,french,15.0,academic,usa,1.2,https://accent.gmu.edu/soundtracks/agni1.mp3,25.0,male,True,10.0,561247.0
albanian,4,albanian1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=4,"prishtina, kosovo",albanian,serbian macedonian bosnian,6.0,naturalistic,usa,3.0,https://accent.gmu.edu/soundtracks/albanian1.mp3,19.0,male,True,13.0,474917.0
albanian,5,albanian2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=5,"tirana, albania",albanian,german italian,15.0,naturalistic,usa,0.04,https://accent.gmu.edu/soundtracks/albanian2.mp3,33.0,male,True,18.0,598468.0
amharic,6,amharic1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=6,"addis ababa, ethiopia",amharic,none,5.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/amharic1.mp3,20.0,female,True,15.0,610382.0
amharic,7,amharic2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=7,"arba minch, ethiopia",amharic,gamugna,7.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/amharic2.mp3,23.0,male,True,16.0,849857.0
amharic,8,amharic3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=8,"addis ababa, ethiopia",amharic,oromo,8.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/amharic3.mp3,27.0,male,True,19.0,382346.0
amharic,9,amharic4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=9,"addis ababa, ethiopia",amharic,none,7.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/amharic4.mp3,20.0,male,True,13.0,699874.0
amharic,10,amharic5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=10,"addis ababa, ethiopia",amharic,russian,7.0,academic,usa,3.0,https://accent.gmu.edu/soundtracks/amharic5.mp3,31.0,male,True,24.0,417483.0
arabic,11,arabic1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=11,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/arabic1.mp3,38.0,female,True,26.0,727040.0
arabic,12,arabic10,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=12,"cairo, egypt",arabic,french german,5.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/arabic10.mp3,26.0,male,True,21.0,594647.0
arabic,13,arabic11,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=13,"monastir, tunisia",arabic,french,14.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/arabic11.mp3,30.0,female,True,16.0,520269.0
arabic,14,arabic12,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=14,"baghdad, iraq",arabic,none,11.0,academic,usa,8.0,https://accent.gmu.edu/soundtracks/arabic12.mp3,32.0,male,True,21.0,634833.0
arabic,15,arabic13,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=15,"zabbougha, lebanon",arabic,french swedish,15.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/arabic13.mp3,25.0,male,True,10.0,483701.0
arabic,16,arabic2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=16,"damascus, syria",arabic,none,2.5,naturalistic,usa,3.0,https://accent.gmu.edu/soundtracks/arabic2.mp3,18.0,male,True,15.5,448763.0
arabic,17,arabic3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=17,"doha, qatar",arabic,none,9.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/arabic3.mp3,24.0,male,True,15.0,771029.0
arabic,18,arabic4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=18,"sharjah, united arab emirates",arabic,french,6.0,academic,usa,0.6,https://accent.gmu.edu/soundtracks/arabic4.mp3,19.0,male,True,13.0,372314.0
