language,id,name,region,country,gender,url
afrikaans,1,afrikaans1,virginia,south africa,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1
afrikaans,2,afrikaans2,pretoria,south africa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2
afrikaans,418,afrikaans3,"pretoria, transvaal",south africa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=418
afrikaans,1159,afrikaans4,pretoria,south africa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1159
afrikaans,1432,afrikaans5,cape town,south africa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1432
afrikaans,2527,afrikaans6,capetown,south africa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2527
agni,3,agni1,diekabo,ivory coast,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=3
akan,979,akan1,accra,ghana,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=979
akan,1977,ashanti1,accra,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1977
akan,167,fanti1,ajumako,ghana,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=167
akan,1511,fanti2,accra,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1511
akan,1863,fanti3,accra,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1863
akan,388,twi1,kumasi,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=388
akan,389,twi2,ajumako,ghana,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=389
akan,2214,twi3,dormaa,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2214
akan,1779,twi4,tema,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1779
akan,2001,twi5,"woodbridge, virginia",usa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2001
akan,2138,twi6,kumasi,ghana,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2138
akan,2215,twi7,abidjan,ivory coast,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2215
akan,2604,twi8,accra,ghana,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2604
