language,id,name,url,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_url,age,sex,has_mp3,length_of_time_speaking_english,sample_length,age_rank,index
english,67,english104,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=67,"youngstown, ohio, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english104.mp3,18.0,female,True,18.0,312758.0,low_age,0
english,72,english15,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,"norton, virginia, usa",english,none,0.0,naturalistic,usa,7.0,https://accent.gmu.edu/soundtracks/english15.mp3,7.0,female,True,7.0,440784.0,low_age,1
english,74,english17,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,"darwin va, virginia, usa",english,none,0.0,naturalistic,usa,79.0,https://accent.gmu.edu/soundtracks/english17.mp3,79.0,male,True,79.0,355323.0,high_age,2
english,83,english25,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=83,"atlanta, georgia, usa",english,none,0.0,naturalistic,usa,57.0,https://accent.gmu.edu/soundtracks/english25.mp3,57.0,male,True,57.0,369956.0,high_age,3
english,84,english26,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=84,"smith island, maryland, usa",english,none,0.0,naturalistic,usa,71.0,https://accent.gmu.edu/soundtracks/english26.mp3,71.0,male,True,71.0,485764.0,high_age,4
english,93,english34,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=93,"ronkonkoma, new york, usa",english,french,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english34.mp3,18.0,female,True,18.0,282761.0,low_age,5
english,94,english35,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=94,"milwaukee, wisconsin, usa",english,spanish,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english35.mp3,60.0,female,True,60.0,340542.0,high_age,6
english,95,english36,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=95,"arcadia, wisconsin, usa",english,none,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english36.mp3,60.0,male,True,60.0,335770.0,high_age,7
english,98,english39,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=98,"new orleans, louisiana, usa",english,none,0.0,naturalistic,usa,59.0,https://accent.gmu.edu/soundtracks/english39.mp3,59.0,female,True,59.0,364275.0,high_age,8
english,104,english44,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=104,"winston salem, north carolina, usa",english,spanish french,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english44.mp3,63.0,female,True,63.0,387908.0,high_age,9
english,106,english46,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=106,"creswell, north carolina, usa",english,none,0.0,naturalistic,usa,73.0,https://accent.gmu.edu/soundtracks/english46.mp3,73.0,male,True,73.0,414058.0,high_age,10
english,110,english5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,"fairfax, virginia, usa",english,none,0.0,naturalistic,usa,62.0,https://accent.gmu.edu/soundtracks/english5.mp3,62.0,male,True,62.0,475839.0,high_age,11
english,112,english51,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=112,"detroit, michigan, usa",english,italian,0.0,naturalistic,usa,67.0,https://accent.gmu.edu/soundtracks/english51.mp3,67.0,male,True,67.0,379867.0,high_age,12
english,114,english53,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=114,"syracuse, new york, usa",english,none,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english53.mp3,63.0,male,True,63.0,383408.0,high_age,13
english,122,english60,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=122,"chesapeake, virginia, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english60.mp3,18.0,male,True,18.0,346408.0,low_age,14
english,128,english66,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=128,"baltimore, maryland, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english66.mp3,19.0,male,True,19.0,333704.0,low_age,15
english,139,english76,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=139,"boston, massachusetts, usa",english,french spanish hebrew,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english76.mp3,18.0,female,True,18.0,280780.0,low_age,16
english,142,english79,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=142,"boston, massachusetts, usa",english,none,0.0,naturalistic,usa,73.0,https://accent.gmu.edu/soundtracks/english79.mp3,73.0,male,True,73.0,417534.0,high_age,17
english,152,english88,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=152,"grand rapids, michigan, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english88.mp3,18.0,male,True,18.0,317956.0,low_age,18
english,153,english89,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=153,"kingston ma, massachusetts, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english89.mp3,18.0,male,True,18.0,351562.0,low_age,19
english,160,english95,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=160,"mishawaka, indiana, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english95.mp3,18.0,male,True,18.0,357635.0,low_age,20
english,416,english107,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=416,"chicago, illinois, usa",english,spanish,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english107.mp3,19.0,male,True,19.0,398240.0,low_age,21
english,445,english117,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=445,"elmore, alabama, usa",english,none,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english117.mp3,60.0,female,True,60.0,333358.0,high_age,22
english,446,english118,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=446,"akron, ohio, usa",english,none,0.0,naturalistic,usa,17.0,https://accent.gmu.edu/soundtracks/english118.mp3,19.0,male,True,19.0,310142.0,low_age,23
english,517,english142,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=517,"avon, new york, usa",english,french,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english142.mp3,19.0,male,True,19.0,282617.0,low_age,24
english,526,english149,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=526,"lawrenceville, georgia, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english149.mp3,18.0,male,True,18.0,328934.0,low_age,25
english,528,english151,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=528,"baltimore, maryland, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english151.mp3,18.0,male,True,18.0,444129.0,low_age,26
english,546,english161,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=546,"wakefield, ohio, usa",english,none,0.0,naturalistic,usa,75.0,https://accent.gmu.edu/soundtracks/english161.mp3,75.0,female,True,75.0,424111.0,high_age,27
english,551,english166,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=551,"glenside, pennsylvania, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english166.mp3,18.0,male,True,18.0,364160.0,low_age,28
english,555,english169,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=555,"cleveland, mississippi, usa",english,spanish esperanto,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english169.mp3,18.0,male,True,18.0,302190.0,low_age,29
english,567,english173,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=567,"libertyville, illinois, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english173.mp3,19.0,male,True,19.0,325795.0,low_age,30
