model_name,dataset_name,optimizer_name,learning_rate,sequence_aggregation,dimension_name,total_num_batches,start_time,best_r2,best_mse,best_rmse,best_mae,best_weights,best_model_path,final_model_path
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,max,valence,20000,1661369619,0.3545433634408355,0.1887059533547348,0.434402984974476,0.3428888102984952,"[0.07659172 0.07799099 0.07836834 0.07842059 0.07837421 0.0779613
 0.07774882 0.07715665 0.07562072 0.07436352 0.07504722 0.07576425
 0.07659172]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661369619_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661369619_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,max,intensity,20000,1661374913,0.4758883108886592,0.1040859307924274,0.3226235124606193,0.2483036244105465,"[0.07611187 0.07848322 0.07880125 0.07887246 0.07898841 0.07883262
 0.07736021 0.07680345 0.07652566 0.07350087 0.074564   0.07504418
 0.07611187]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661374913_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661374913_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,max,arousal,20000,1661380580,0.2555386821785421,0.1224703139861578,0.3499575888392161,0.2820971337603739,"[0.07503998 0.07950629 0.07965536 0.07980608 0.08048174 0.08007631
 0.07839954 0.07645312 0.07577967 0.07388505 0.07347517 0.0724017
 0.07503998]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661380580_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661380580_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,min,valence,20000,1661386294,0.3715533688597127,0.1837329015533778,0.4286407604899209,0.3506532284461307,"[0.07642509 0.07748587 0.07767393 0.07783084 0.07777639 0.07756262
 0.07768466 0.07756552 0.07678951 0.07494432 0.07571644 0.07611971
 0.07642509]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661386294_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661386294_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,min,intensity,20000,1661392261,0.4885566112889338,0.1015700704021422,0.3187005968023001,0.2526008751514814,"[0.07560558 0.07932844 0.07928207 0.07947436 0.07958254 0.07878859
 0.07771167 0.07647739 0.07491651 0.07472914 0.07466803 0.07383003
 0.07560558]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661392261_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661392261_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,min,arousal,20000,1661399274,0.1974090705252189,0.132033136957147,0.3633636428664087,0.293076019612406,"[0.07534999 0.07950296 0.07940798 0.07968492 0.07964998 0.07856781
 0.07760534 0.07665449 0.07539791 0.07409361 0.07473378 0.07400125
 0.07534999]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661399274_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661399274_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,mean,valence,20000,1661404253,0.3473287664853594,0.1908152157272017,0.4368240100168508,0.3721270667593663,"[0.07732835 0.07627492 0.07613669 0.07646358 0.07645127 0.07650302
 0.07677325 0.07825352 0.07718447 0.07641957 0.07718201 0.07770098
 0.07732835]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661404253_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661404253_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,mean,intensity,20000,1661409533,0.436236978840723,0.1119604848027888,0.3346049682876644,0.2759758854185077,"[0.0771473  0.0767154  0.07673381 0.07671533 0.07676709 0.07667055
 0.07670012 0.07714465 0.07699399 0.0767285  0.07725488 0.07728114
 0.0771473 ]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661409533_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661409533_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0001,mean,arousal,20000,1661414680,0.2327239327350603,0.1262235372376161,0.3552795198679711,0.2892778020411157,"[0.07702072 0.07671202 0.0767339  0.07670931 0.07677631 0.07660396
 0.07663785 0.07741529 0.07701254 0.07715321 0.07714146 0.07706259
 0.07702072]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661414680_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661414680_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,max,valence,20000,1661420105,0.412619175046122,0.1717268864816328,0.4143994286695299,0.3242106530046398,"[0.07232937 0.08643442 0.08779208 0.08802921 0.08869338 0.08648197
 0.08371411 0.07422442 0.06462173 0.06116752 0.06714112 0.06704118
 0.07232937]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661420105_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661420105_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,max,intensity,20000,1661425398,0.5046118326722475,0.0983815846337859,0.3136583884320423,0.2491468879913453,"[0.05425471 0.1428885  0.12540141 0.10534306 0.10284556 0.08864547
 0.07229783 0.05284428 0.05057657 0.05568941 0.05267309 0.04228537
 0.05425471]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661425398_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661425398_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,max,arousal,20000,1661430784,0.1888678122128041,0.1334382476893196,0.3652920033196999,0.2893904193567769,"[0.07358716 0.08115592 0.0814314  0.08137222 0.08161239 0.08108295
 0.08021417 0.07842579 0.07459471 0.06981721 0.07158086 0.07153809
 0.07358716]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661430784_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661430784_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,min,valence,20000,1661436561,0.380029306663742,0.1812548730797513,0.425740382251615,0.3167003799111838,"[0.06599835 0.10065606 0.10056976 0.09800846 0.09490544 0.08976985
 0.08363549 0.06508224 0.05265523 0.06173392 0.06280499 0.05818182
 0.06599835]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661436561_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661436561_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,min,intensity,20000,1661442419,0.41667668617059,0.1158450600020086,0.3403601915647725,0.2834017759600025,"[0.07371134 0.08120967 0.08125272 0.0812311  0.08117785 0.08079975
 0.07961888 0.07755914 0.07189406 0.0716628  0.07326335 0.07290804
 0.07371134]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661442419_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661442419_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,min,arousal,20000,1661448091,0.2455111533675406,0.1241199290468602,0.3523065838823626,0.2664104162372961,"[0.07347774 0.0815405  0.08159479 0.08146077 0.08128019 0.08098757
 0.08016631 0.07776552 0.07124231 0.07149512 0.07293519 0.07257621
 0.07347774]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661448091_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661448091_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,mean,valence,20000,1661455868,0.3143538766555709,0.2004557673454625,0.4477228689105153,0.383004636675845,"[0.07353974 0.080056   0.07926105 0.08066058 0.08078023 0.07996336
 0.08094063 0.08287036 0.07999012 0.06371049 0.07022645 0.0744612
 0.07353974]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661455868_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661455868_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,mean,intensity,20000,1661460637,0.4010832737697747,0.1189418328420134,0.3448794468245584,0.2859198395262592,"[0.07307836 0.07960252 0.07947545 0.07964114 0.08011041 0.08005896
 0.07924163 0.08088746 0.07990065 0.07093363 0.07085377 0.07313775
 0.07307836]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661460637_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661460637_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.005,mean,arousal,20000,1661465675,0.2289486035156821,0.12684461148799,0.356152511556482,0.290577142363332,"[0.07313946 0.07973178 0.07975115 0.07984414 0.08008973 0.07982334
 0.07921669 0.08065231 0.08014024 0.07068659 0.07099707 0.07278807
 0.07313946]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661465675_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661465675_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,max,valence,20000,1661471465,0.432282974301003,0.1659779704820243,0.4074039401896162,0.3078809128274342,"[0.04901331 0.11836565 0.13241053 0.12333976 0.11222409 0.08980074
 0.07607892 0.05948137 0.05068586 0.04884035 0.04462769 0.04611853
 0.04901331]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661471465_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661471465_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,max,intensity,20000,1661476862,0.5008239857765603,0.099133831870449,0.3148552554277108,0.2514990467411392,"[0.04894439 0.12227434 0.15409535 0.12280373 0.11520914 0.07916977
 0.06160969 0.05618716 0.0598558  0.05534811 0.04011343 0.03544473
 0.04894439]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661476862_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661476862_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,max,arousal,20000,1661482796,0.2836777684663549,0.1178411913568763,0.3432800480029044,0.2705921348517898,"[0.0763211  0.07789131 0.07804115 0.077968   0.07792879 0.07775177
 0.07775962 0.07767348 0.07674395 0.07460054 0.07543709 0.07556209
 0.0763211 ]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661482796_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661482796_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,min,valence,20000,1661488239,0.4002705807776266,0.1753371263057199,0.4187327623983105,0.327026886734879,"[0.06358871 0.0990958  0.10015339 0.10083292 0.09896104 0.09074861
 0.08520256 0.06801999 0.05865566 0.05309265 0.05911546 0.05894449
 0.06358871]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661488239_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661488239_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,min,intensity,20000,1661493549,0.4712264386911743,0.1050117550336941,0.3240551728235397,0.263735255938724,"[0.07604161 0.0782475  0.07824708 0.07831189 0.07833589 0.0781476
 0.07762226 0.07746855 0.07574853 0.07487024 0.07555013 0.07536708
 0.07604161]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661493549_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661493549_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,min,arousal,20000,1661499301,0.2759852275938904,0.1191066807428917,0.3451183575860486,0.2723264336529197,"[0.06670006 0.09160032 0.09313398 0.09353876 0.09504577 0.09034935
 0.08105004 0.06995031 0.0650772  0.06090159 0.06391229 0.06204011
 0.06670006]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661499301_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661499301_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,mean,valence,20000,1661505022,0.3930502149406846,0.1774480752706164,0.4212458608349955,0.3552939246178301,"[0.07630227 0.07738119 0.07717015 0.0772815  0.0772948  0.07720198
 0.07729649 0.07853881 0.07776427 0.0751183  0.07586446 0.07648344
 0.07630227]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661505022_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661505022_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,mean,intensity,20000,1661510471,0.4065442590303034,0.117857308787895,0.3433035228305924,0.2760032746362661,"[0.0761981  0.07745075 0.07730725 0.07734711 0.07749018 0.07727206
 0.07716382 0.07795813 0.07761921 0.07584748 0.07578076 0.07636704
 0.0761981 ]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661510471_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661510471_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.001,mean,arousal,20000,1661515647,0.2138421324936112,0.1293297563907632,0.3596244657844669,0.2851518927921413,"[0.07560316 0.07739676 0.07732158 0.07738332 0.07803518 0.07743932
 0.07664739 0.078734   0.07792032 0.07726464 0.07495376 0.07569744
 0.07560316]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661515647_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661515647_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,max,valence,20000,1661521604,0.3923665182021117,0.1776479611150717,0.4214830496177417,0.3348798320796011,"[0.07440845 0.08199032 0.08271016 0.08231068 0.08243166 0.08063135
 0.08039727 0.07611459 0.07190209 0.06946762 0.07187345 0.07135393
 0.07440845]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661521604_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661521604_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,max,intensity,20000,1661527005,0.4509548511184665,0.1090375898032317,0.3302084035926882,0.2579311307037882,"[0.06561485 0.09114015 0.09433386 0.09720439 0.10238507 0.09833517
 0.08247174 0.06987427 0.06737053 0.0576394  0.05475339 0.05326235
 0.06561485]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661527005_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661527005_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,max,arousal,20000,1661532485,0.2348404787982844,0.125875347137306,0.3547891587088112,0.2845130881864001,"[0.06671274 0.09274565 0.0968309  0.09626864 0.09781958 0.09536163
 0.08527455 0.06926173 0.06622704 0.05964545 0.05626883 0.05087054
 0.06671274]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661532485_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661532485_FINAL.pt
